metabolite_id,enzyme_id,source
CNP0333612.0,ec:1.14.99.2,KEGG
CNP0333612.0,ec:1.3.99.18,KEGG
CNP0333612.0,ec:2.6.1.63,KEGG
CNP0333612.0,ec:2.6.1.7,KEGG
CNP0333612.0,CCBL1,HMDB
CNP0333612.0,CCBL2,HMDB
CNP0333612.0,1.14.99.2,BRENDA
CNP0564599.0,ec:2.6.1.63,KEGG
CNP0564599.0,ec:2.6.1.7,KEGG
CNP0564599.0,2.8.2.15,BRENDA
CNP0564599.0,2.8.2.1,BRENDA
CNP0564599.0,2.8.2.4,BRENDA
CNP0564599.0,2.8.2.3,BRENDA
CNP0564599.0,2.8.2.14,BRENDA
CNP0587736.0,ec:1.14.14.153,KEGG
CNP0587736.0,ec:1.14.14.157,KEGG
CNP0587736.0,1.11.2.1,BRENDA
CNP0587736.0,1.14.13.7,BRENDA
CNP0587736.0,1.14.14.157,BRENDA
CNP0587736.0,monooxygenase activity of Cytochrome P450 (CYP2W1 based) [endoplasmic reticulum membrane],Reactome
CNP0556788.1,ec:4.4.1.36,KEGG
CNP0174424.0,1.1.3.8,BRENDA
CNP0591741.0,DDC,HMDB
CNP0591741.0,HDC,HMDB
CNP0591741.0,HRH2,HMDB
CNP0591741.0,SLC18A2,HMDB
CNP0591741.0,HRH1,HMDB
CNP0591741.0,2.1.1.8,BRENDA
CNP0591741.0,2.3.1.87,BRENDA
CNP0591741.0,1.4.9.2,BRENDA
CNP0591741.0,1.4.3.4,BRENDA
CNP0591741.0,2.3.2.13,BRENDA
CNP0591741.0,1.4.3.21,BRENDA
CNP0591741.0,1.4.9.1,BRENDA
CNP0591741.0,1.4.3.10,BRENDA
CNP0591741.0,1.4.3.22,BRENDA
CNP0591741.0,2.3.1.57,BRENDA
CNP0591741.0,2.3.1.5,BRENDA
CNP0591741.0,6.3.2.18,BRENDA
CNP0591741.0,1.14.99.52,BRENDA
CNP0591741.0,1.4.3.13,BRENDA
CNP0591741.0,1.4.3.27,BRENDA
